Date,Price,Open,High,Low,Vol.,Change %
Feb 01, 2018,69.46,68.95,69.71,68.82,-,0.59%
Jan 31, 2018,69.05,68.43,69.15,68.33,20.43,0.04%
Jan 30, 2018,69.02,69.3,69.39,68.4,135.87,-0.63%
Jan 29, 2018,69.46,70.47,70.64,69.07,202.24,-1.50%
Jan 26, 2018,70.52,70.07,70.83,70.05,227.60,0.14%
Jan 25, 2018,70.42,70.95,71.28,69.97,301.93,-0.16%
Jan 24, 2018,70.53,69.97,70.94,69.54,308.37,0.81%
Jan 23, 2018,69.96,69.17,70.24,69.12,343.73,1.35%
Jan 22, 2018,69.03,68.8,69.51,68.39,250.60,0.61%
Jan 19, 2018,68.61,69.01,69.08,68.28,278.36,-1.01%
Jan 18, 2018,69.31,69.53,69.63,68.8,270.23,-0.10%
Jan 17, 2018,69.38,69.35,69.59,68.55,280.42,0.33%
Jan 16, 2018,69.15,70.05,70.13,68.83,322.95,-1.58%
Jan 15, 2018,70.26,69.88,70.37,69.55,173.46,0.56%
Jan 12, 2018,69.87,69.15,69.93,68.59,302.10,0.88%
Jan 11, 2018,69.26,69.15,70.05,69,341.94,0.09%
Jan 10, 2018,69.2,69.12,69.37,68.75,290.54,0.55%
Jan 09, 2018,68.82,68,69.29,67.7,319.92,1.53%
Jan 08, 2018,67.78,67.8,67.99,67.44,210.35,0.24%
Jan 05, 2018,67.62,67.97,68.11,67.26,183.45,-0.66%
Jan 04, 2018,68.07,67.89,68.27,67.62,246.15,0.34%
Jan 03, 2018,67.84,66.54,68.03,66.4,260.86,1.91%
Jan 02, 2018,66.57,66.55,67.29,66.24,211.74,-0.45%
Dec 29, 2017,66.87,66.15,66.98,66.15,157.95,0.22%
Dec 28, 2017,66.72,66.43,66.85,66.23,35.09,0.42%
Dec 27, 2017,66.44,66.76,66.94,66.03,122.43,-0.87%
Dec 26, 2017,67.02,65.2,67.1,65,74.25,2.71%
Dec 22, 2017,65.25,64.63,65.28,64.38,110.42,0.54%
Dec 21, 2017,64.9,64.49,64.93,64.2,155.42,0.53%
Dec 20, 2017,64.56,63.83,64.6,63.67,222.73,1.19%
Dec 19, 2017,63.8,63.41,63.91,63.3,213.19,0.62%
Dec 18, 2017,63.41,63.36,63.91,63,234.62,0.28%
Dec 15, 2017,63.23,63.39,63.68,63.08,213.00,-0.13%
Dec 14, 2017,63.31,62.81,63.5,62.01,277.67,1.39%
Dec 13, 2017,62.44,63.8,64.32,62.36,354.37,-1.42%
Dec 12, 2017,63.34,64.66,65.83,63.07,508.99,-2.09%
Dec 11, 2017,64.69,63.29,64.93,62.99,488.01,2.03%
Dec 08, 2017,63.4,62.08,63.64,62.01,362.43,1.93%
Dec 07, 2017,62.2,61.3,62.26,61.15,238.96,1.60%
Dec 06, 2017,61.22,62.64,62.93,61.13,314.26,-2.61%
Dec 05, 2017,62.86,62.45,63.15,62.12,219.34,0.66%
Dec 04, 2017,62.45,63.5,63.68,62.31,250.52,-2.01%
Dec 01, 2017,63.73,62.74,64.32,62.59,308.15,0.25%
Nov 30, 2017,63.57,63.28,64.21,63.21,26.21,0.73%
Nov 29, 2017,63.11,63.3,64.07,62.5,178.20,-0.79%
Nov 28, 2017,63.61,63.78,63.89,63.1,186.93,-0.36%
Nov 27, 2017,63.84,63.8,63.99,63.1,249.09,-0.03%
Nov 24, 2017,63.86,63.35,63.95,63.28,152.70,0.49%
Nov 23, 2017,63.55,63.24,63.57,62.88,113.08,0.36%
Nov 22, 2017,63.32,62.78,63.43,62.62,322.87,1.20%
Nov 21, 2017,62.57,62.1,62.87,62.07,338.16,0.56%
Nov 20, 2017,62.22,62.8,62.8,61.44,283.48,-0.80%
Nov 17, 2017,62.72,61.41,62.92,61.08,356.74,2.22%
Nov 16, 2017,61.36,61.88,62.15,61.25,314.06,-0.82%
Nov 15, 2017,61.87,61.55,62.13,61.3,279.41,-0.55%
Nov 14, 2017,62.21,63.06,63.17,61.21,418.94,-1.50%
Nov 13, 2017,63.16,63.68,63.77,62.61,335.15,-0.57%
Nov 10, 2017,63.52,63.8,64.27,63.35,307.97,-0.64%
Nov 09, 2017,63.93,63.52,64.25,63.26,319.86,0.69%
Nov 08, 2017,63.49,63.69,64.64,62.95,418.07,-0.31%
Nov 07, 2017,63.69,64.12,64.65,63.5,389.46,-0.90%
Nov 06, 2017,64.27,62.27,64.44,62.08,356.99,3.54%
Nov 03, 2017,62.07,60.88,62.23,60.6,272.74,2.39%
Nov 02, 2017,60.62,60.5,60.86,60.02,289.30,0.21%
Nov 01, 2017,60.49,61.07,61.7,60,337.76,-1.43%
Oct 31, 2017,61.37,60.86,61.41,60.53,29.12,0.77%
Oct 30, 2017,60.9,60.66,61,60.14,168.54,0.76%
Oct 27, 2017,60.44,59.37,60.65,58.82,209.89,1.92%
Oct 26, 2017,59.3,58.42,59.55,58.05,232.28,1.47%
Oct 25, 2017,58.44,58.44,58.74,57.85,260.55,0.19%
Oct 24, 2017,58.33,57.41,58.57,57.04,334.68,1.67%
Oct 23, 2017,57.37,57.95,58.05,57.27,353.07,-0.66%
Oct 20, 2017,57.75,57.32,57.94,56.6,369.89,0.91%
Oct 19, 2017,57.23,58.24,58.3,57.02,430.67,-1.58%
Oct 18, 2017,58.15,58.16,58.54,57.74,329.33,0.47%
Oct 17, 2017,57.88,57.78,58.35,57.18,405.22,0.10%
Oct 16, 2017,57.82,57.28,58.47,57.12,341.78,1.14%
Oct 13, 2017,57.17,56.44,57.57,56.34,332.60,1.64%
Oct 12, 2017,56.25,56.74,56.83,55.88,339.53,-1.21%
Oct 11, 2017,56.94,56.56,57.09,56.14,310.14,0.58%
Oct 10, 2017,56.61,55.78,56.91,55.73,290.34,1.47%
Oct 09, 2017,55.79,55.5,55.98,55.06,301.15,0.31%
Oct 06, 2017,55.62,56.99,57.28,55.13,395.65,-2.42%
Oct 05, 2017,57,55.77,57.24,55.7,379.30,2.15%
Oct 04, 2017,55.8,55.67,56.2,55.38,330.85,-0.36%
Oct 03, 2017,56,56.1,56.4,55.7,275.42,-0.21%
Oct 02, 2017,56.12,56.73,56.76,55.5,352.05,-2.47%
Sep 29, 2017,57.54,57.6,57.8,57.14,24.02,0.23%
Sep 28, 2017,57.41,57.7,58.65,56.85,117.89,-0.85%
Sep 27, 2017,57.9,58.57,58.89,57.57,142.87,-0.92%
Sep 26, 2017,58.44,59.05,59.49,57.77,214.73,-0.98%
Sep 25, 2017,59.02,56.87,59.25,56.7,224.94,3.80%
Sep 22, 2017,56.86,56.5,56.91,56.22,208.36,0.76%
Sep 21, 2017,56.43,56.17,56.53,55.76,251.62,0.25%
Sep 20, 2017,56.29,55.35,56.48,55.26,295.65,2.09%
Sep 19, 2017,55.14,55.48,55.89,54.89,221.76,-0.61%
Sep 18, 2017,55.48,55.59,55.95,54.82,278.12,-0.25%
Sep 15, 2017,55.62,55.29,55.85,54.86,271.07,0.27%
Sep 14, 2017,55.47,55.02,55.99,54.93,327.35,0.56%
Sep 13, 2017,55.16,54.18,55.21,54.03,291.47,1.64%
Sep 12, 2017,54.27,53.77,54.44,53.42,279.34,0.80%
Sep 11, 2017,53.84,53.82,54.14,53.04,276.43,0.11%
Sep 08, 2017,53.78,54.54,54.87,53.57,307.45,-1.30%
Sep 07, 2017,54.49,54.13,54.67,53.89,306.72,0.54%
Sep 06, 2017,54.2,53.16,54.31,53.09,322.60,1.54%
Sep 05, 2017,53.38,52.3,53.66,52.09,300.78,1.99%
Sep 04, 2017,52.34,52.85,52.85,51.99,121.54,-0.78%
Sep 01, 2017,52.75,52.84,52.95,52.24,262.20,0.71%
Aug 31, 2017,52.38,50.58,52.43,50.56,33.50,2.99%
Aug 30, 2017,50.86,51.97,52.01,50.58,152.59,-2.19%
Aug 29, 2017,52,52.04,52.19,51.36,139.97,0.21%
