,Date,Year,Month,Day,Low,High,Open,Close,Change,Volume
2582,2008-02-01,2008,Feb,01,88.95,92.49,91.5,89.44,-3.0,143.04
2581,2008-02-04,2008,Feb,04,88.63,91.12,89.1,90.47,1.15,112.22
2580,2008-02-05,2008,Feb,05,88.05,90.4,90.06,88.82,-1.82,107.93
2579,2008-02-06,2008,Feb,06,87.53,89.6,88.5,87.78,-1.17,113.07
2578,2008-02-07,2008,Feb,07,86.83,88.77,87.6,88.51,0.83,102.48
2577,2008-02-08,2008,Feb,08,88.78,92.32,88.78,91.94,3.88,130.33
2576,2008-02-11,2008,Feb,11,91.09,94.52,92.68,93.53,1.73,116.17
2575,2008-02-12,2008,Feb,12,92.08,94.13,93.29,92.86,-0.72,98.87
2574,2008-02-13,2008,Feb,13,92.39,94.0,92.99,93.32,0.5,84.0
2573,2008-02-14,2008,Feb,14,93.38,95.49,93.47,95.09,1.9,23.92
2572,2008-02-15,2008,Feb,15,94.02,95.8,94.95,94.63,-0.48,115.83
2571,2008-02-18,2008,Feb,18,94.44,95.44,94.9,94.91,0.3,36.8
2570,2008-02-19,2008,Feb,19,94.81,98.7,94.84,98.56,3.85,113.11
2569,2008-02-20,2008,Feb,20,96.77,99.22,97.82,98.42,-0.14,101.34
2568,2008-02-21,2008,Feb,21,95.42,99.0,98.35,96.24,-2.21,134.02
2567,2008-02-22,2008,Feb,22,95.66,97.65,95.9,97.01,0.8,108.15
2566,2008-02-25,2008,Feb,25,96.34,98.16,97.23,97.69,0.7,101.8
2565,2008-02-26,2008,Feb,26,97.05,100.03,98.05,99.47,1.82,116.31
2564,2008-02-27,2008,Feb,27,97.98,100.53,100.0,98.27,-1.21,126.38
2563,2008-02-28,2008,Feb,28,97.45,101.27,98.54,100.9,2.68,125.96
2562,2008-02-29,2008,Feb,29,99.66,101.27,101.2,100.1,-0.79,114.44
2561,2008-03-03,2008,Mar,03,99.2,102.29,100.12,100.48,0.38,120.13
2560,2008-03-04,2008,Mar,04,96.92,101.31,100.6,97.52,-2.95,147.81
2559,2008-03-05,2008,Mar,05,97.52,102.07,97.75,101.64,4.22,137.13
2558,2008-03-06,2008,Mar,06,100.28,102.95,101.67,102.61,0.95,120.77
2557,2008-03-07,2008,Mar,07,101.36,103.98,102.69,102.38,-0.22,117.16
2556,2008-03-10,2008,Mar,10,101.2,104.45,102.3,104.16,1.74,105.13
2555,2008-03-11,2008,Mar,11,103.3,105.82,104.21,105.25,1.05,104.6
2554,2008-03-12,2008,Mar,12,104.0,106.45,105.43,106.27,0.97,80.91
